industry_code	industry_name
000000	Cross-industry, Private, Federal, State, and Local Government
000001	Cross-industry, Private Ownership Only
11--12	Sector 11 - Agriculture, Forestry, Fishing and Hunting
113000	Forestry and Logging
113300	Logging
115000	Support Activities for Agriculture and Forestry
115100	Support Activities for Crop Production
115200	Support Activities for Animal Production
21--22	Sector 21 - Mining
211000	Oil and Gas Extraction
211100	Oil and Gas Extraction
212000	Mining (except Oil and Gas
212100	Coal Mining
212200	Metal Ore Mining
212300	Nonmetallic Mineral Mining and Quarrying
213000	Support Activities for Mining
213100	Support Activities for Mining
22--23	Sector 22 - Utilities
221000	Utilities
221100	Electric Power Generation, Transmission and Distribution
221111	Hydroelectric Power Generation
221112	Fossil Fuel Electric Power Generation
221113	Nuclear Electric Power Generation
221114	Solar Electric Power Generation
221115	Wind Electric Power Generation
221116	Geothermal Electric Power Generation
221117	Biomass Electric Power Generation
221118	Other Electric Power Generation
221200	Natural Gas Distribution
221300	Water, Sewage and Other Systems
23--24	Sector 23 - Construction
236000	Construction of Buildings
236100	Residential Building Construction
236200	Nonresidential Building Construction
237000	Heavy and Civil Engineering Construction
237100	Utility System Construction
237130	Power and Communication Line and Related Structures Construction
237200	Land Subdivision
237300	Highway, Street, and Bridge Construction
237900	Other Heavy and Civil Engineering Construction
238000	Specialty Trade Contractors
238100	Foundation, Structure, and Building Exterior Contractors
238110	Poured Concrete Foundation and Structure Contractors
238140	Masonry Contractors
238160	Roofing Contractors
238200	Building Equipment Contractors
238210	Electrical Contractors and Other Wiring Installation Contractors
238220	Plumbing, Heating, and Air-Conditioning Contractors
238290	Other Building Equipment Contractors
238300	Building Finishing Contractors
238310	Drywall and Insulation Contractors
238320	Painting and Wall Covering Contractors
238900	Other Specialty Trade Contractors
31--34	Sectors 31, 32, and 33 - Manufacturing
311000	Food Manufacturing
311100	Animal Food Manufacturing
311200	Grain and Oilseed Milling
311300	Sugar and Confectionery Product Manufacturing
311400	Fruit and Vegetable Preserving and Specialty Food Manufacturing
311500	Dairy Product Manufacturing
311600	Animal Slaughtering and Processing
311700	Seafood Product Preparation and Packaging
311800	Bakeries and Tortilla Manufacturing
311900	Other Food Manufacturing
312000	Beverage and Tobacco Product Manufacturing
312100	Beverage Manufacturing
312200	Tobacco Manufacturing
313000	Textile Mills
313100	Fiber, Yarn, and Thread Mills
313200	Fabric Mills
313300	Textile and Fabric Finishing and Fabric Coating Mills
314000	Textile Product Mills
314100	Textile Furnishings Mills
314900	Other Textile Product Mills
315000	Apparel Manufacturing
315100	Apparel Knitting Mills
315200	Cut and Sew Apparel Manufacturing
315900	Apparel Accessories and Other Apparel Manufacturing
316000	Leather and Allied Product Manufacturing
316100	Leather and Hide Tanning and Finishing
316200	Footwear Manufacturing
316900	Other Leather and Allied Product Manufacturing
321000	Wood Product Manufacturing
321100	Sawmills and Wood Preservation
321200	Veneer, Plywood, and Engineered Wood Product Manufacturing
321900	Other Wood Product Manufacturing
322000	Paper Manufacturing
322100	Pulp, Paper, and Paperboard Mills
322200	Converted Paper Product Manufacturing
323000	Printing and Related Support Activities
323100	Printing and Related Support Activities
324000	Petroleum and Coal Products Manufacturing
324100	Petroleum and Coal Products Manufacturing
325000	Chemical Manufacturing
325100	Basic Chemical Manufacturing
325200	Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing
325300	Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing
325400	Pharmaceutical and Medicine Manufacturing
325500	Paint, Coating, and Adhesive Manufacturing
325600	Soap, Cleaning Compound, and Toilet Preparation Manufacturing
325900	Other Chemical Product and Preparation Manufacturing
326000	Plastics and Rubber Products Manufacturing
326100	Plastics Product Manufacturing
326200	Rubber Product Manufacturing
327000	Nonmetallic Mineral Product Manufacturing
327100	Clay Product and Refractory Manufacturing
327200	Glass and Glass Product Manufacturing
327300	Cement and Concrete Product Manufacturing
327400	Lime and Gypsum Product Manufacturing
327900	Other Nonmetallic Mineral Product Manufacturing
331000	Primary Metal Manufacturing
331100	Iron and Steel Mills and Ferroalloy Manufacturing
331200	Steel Product Manufacturing from Purchased Steel
331300	Alumina and Aluminum Production and Processing
331400	Nonferrous Metal (except Aluminum) Production and Processing
331500	Foundries
332000	Fabricated Metal Product Manufacturing
332100	Forging and Stamping
332200	Cutlery and Handtool Manufacturing
332300	Architectural and Structural Metals Manufacturing
332400	Boiler, Tank, and Shipping Container Manufacturing
332500	Hardware Manufacturing
332600	Spring and Wire Product Manufacturing
332700	Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing
332710	Machine Shops
332720	Turned Product and Screw, Nut, and Bolt Manufacturing
332800	Coating, Engraving, Heat Treating, and Allied Activities
332900	Other Fabricated Metal Product Manufacturing
333000	Machinery Manufacturing
333100	Agriculture, Construction, and Mining Machinery Manufacturing
333200	Industrial Machinery Manufacturing
333300	Commercial and Service Industry Machinery Manufacturing
333400	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing
333500	Metalworking Machinery Manufacturing
333600	Engine, Turbine, and Power Transmission Equipment Manufacturing
333900	Other General Purpose Machinery Manufacturing
334000	Computer and Electronic Product Manufacturing
334100	Computer and Peripheral Equipment Manufacturing
334200	Communications Equipment Manufacturing
334300	Audio and Video Equipment Manufacturing
334400	Semiconductor and Other Electronic Component Manufacturing
334500	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing
334600	Manufacturing and Reproducing Magnetic and Optical Media
335000	Electrical Equipment, Appliance, and Component Manufacturing
335100	Electric Lighting Equipment Manufacturing
335200	Household Appliance Manufacturing
335300	Electrical Equipment Manufacturing
335900	Other Electrical Equipment and Component Manufacturing
336000	Transportation Equipment Manufacturing
336100	Motor Vehicle Manufacturing
336200	Motor Vehicle Body and Trailer Manufacturing
336300	Motor Vehicle Parts Manufacturing
336400	Aerospace Product and Parts Manufacturing
336500	Railroad Rolling Stock Manufacturing
336600	Ship and Boat Building
336900	Other Transportation Equipment Manufacturing
337000	Furniture and Related Product Manufacturing
337100	Household and Institutional Furniture and Kitchen Cabinet Manufacturing
337110	Wood Kitchen Cabinet and Countertop Manufacturing
337120	Household and Institutional Furniture Manufacturing
337200	Office Furniture (including Fixtures) Manufacturing
337900	Other Furniture Related Product Manufacturing
339000	Miscellaneous Manufacturing
339100	Medical Equipment and Supplies Manufacturing
339900	Other Miscellaneous Manufacturing
339910	Jewelry and Silverware Manufacturing
42--43	Sector 42 - Wholesale Trade
423000	Merchant Wholesalers, Durable Goods
423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
423200	Furniture and Home Furnishing Merchant Wholesalers
423300	Lumber and Other Construction Materials Merchant Wholesalers
423400	Professional and Commercial Equipment and Supplies Merchant Wholesalers
423500	Metal and Mineral (except Petroleum) Merchant Wholesalers
423600	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers
423700	Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers
423800	Machinery, Equipment, and Supplies Merchant Wholesalers
423820	Farm and Garden Machinery and Equipment Merchant Wholesalers
423900	Miscellaneous Durable Goods Merchant Wholesalers
424000	Merchant Wholesalers, Nondurable Goods
424100	Paper and Paper Product Merchant Wholesalers
424200	Drugs and Druggists' Sundries Merchant Wholesalers
424300	Apparel, Piece Goods, and Notions Merchant Wholesalers
424400	Grocery and Related Product Merchant Wholesalers
424500	Farm Product Raw Material Merchant Wholesalers
424600	Chemical and Allied Products Merchant Wholesalers
424700	Petroleum and Petroleum Products Merchant Wholesalers
424800	Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers
